<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;438.2000000;447.8000000;438.1000000;447.0000000;1005
20140108;000000;446.1000000;447.8000000;446.0000000;446.1000000;661
20140109;000000;447.1000000;447.9000000;447.0000000;447.0000000;225
20140110;000000;449.4000000;451.0000000;449.4000000;450.0000000;1087
20140113;000000;449.0000000;449.0000000;440.1000000;443.2000000;759
20140114;000000;432.1000000;443.7000000;432.1000000;443.0000000;164
20140115;000000;451.0000000;451.0000000;441.0000000;448.0000000;11841
20140116;000000;447.4000000;451.0000000;445.0000000;451.0000000;2713
20140117;000000;450.2000000;451.2000000;450.2000000;451.0000000;5821
20140120;000000;449.3000000;458.0000000;445.1000000;445.1000000;9228
20140121;000000;440.1000000;450.8000000;440.0000000;449.5000000;5419
20140122;000000;463.9000000;463.9000000;449.6000000;454.5000000;12237
20140123;000000;455.3000000;462.0000000;453.5000000;461.0000000;3888
20140124;000000;460.9000000;460.9000000;453.1000000;456.0000000;11242
20140127;000000;453.0000000;455.9000000;452.2000000;454.0000000;1410
20140128;000000;453.8000000;457.0000000;453.8000000;457.0000000;1891
20140129;000000;459.9000000;460.2000000;459.6000000;460.0000000;38868
20140130;000000;454.7000000;458.0000000;450.0000000;455.0000000;2794
20140131;000000;454.8000000;455.0000000;450.4000000;451.0000000;5998
20140203;000000;449.9000000;451.5000000;449.9000000;450.4000000;472
20140204;000000;440.4000000;449.0000000;440.4000000;445.9000000;366
20140205;000000;454.1000000;454.1000000;445.0000000;445.4000000;84
20140206;000000;446.9000000;450.0000000;446.9000000;448.0000000;13
20140207;000000;443.1000000;450.0000000;442.2000000;450.0000000;5139
20140210;000000;443.3000000;450.2000000;442.0000000;450.1000000;516
20140211;000000;455.1000000;455.3000000;455.1000000;455.3000000;21
20140212;000000;450.0000000;450.0000000;449.7000000;449.7000000;194
20140213;000000;449.2000000;450.2000000;449.2000000;450.2000000;39
20140214;000000;445.3000000;450.9000000;445.2000000;446.0000000;442
20140217;000000;445.2000000;445.2000000;441.8000000;442.0000000;1048
20140218;000000;449.0000000;449.8000000;449.0000000;449.4000000;60
20140219;000000;430.4000000;448.0000000;429.9000000;445.0000000;12909
20140220;000000;445.0000000;458.0000000;445.0000000;455.5000000;17149
20140221;000000;458.0000000;471.0000000;458.0000000;470.0000000;5948
20140224;000000;465.1000000;491.7000000;465.0000000;466.3000000;33375
20140225;000000;467.0000000;475.0000000;467.0000000;470.0000000;5397
20140226;000000;470.1000000;470.1000000;465.3000000;469.1000000;37160
20140227;000000;471.2000000;475.0000000;450.3000000;456.0000000;4553
20140228;000000;461.0000000;470.0000000;460.0000000;467.5000000;13702
20140303;000000;450.1000000;468.5000000;405.0000000;450.0000000;57634
20140304;000000;437.3000000;473.5000000;434.7000000;455.9000000;3139
20140305;000000;442.0000000;462.0000000;442.0000000;457.0000000;11471
20140306;000000;459.9000000;468.9000000;448.0000000;450.9000000;8713
20140307;000000;451.0000000;456.7000000;450.9000000;456.0000000;843
20140311;000000;452.0000000;452.0000000;445.3000000;447.0000000;5025
20140312;000000;442.0000000;450.0000000;439.9000000;450.0000000;23974
20140313;000000;450.0000000;460.4000000;442.1000000;448.8000000;69601
20140314;000000;442.0000000;460.4000000;399.9000000;405.0000000;41434
20140317;000000;414.8000000;414.9000000;404.3000000;410.0000000;1427
20140318;000000;409.9000000;424.9000000;409.0000000;410.0000000;5371
20140319;000000;409.9000000;413.9000000;407.0000000;413.7000000;21031
20140320;000000;405.1000000;412.0000000;400.0000000;402.0000000;7204
20140321;000000;400.1000000;421.9000000;400.0000000;406.6000000;633
20140324;000000;415.1000000;417.9000000;408.0000000;408.0000000;495
20140325;000000;420.1000000;420.1000000;410.0000000;412.0000000;523
20140326;000000;411.9000000;412.4000000;410.3000000;412.3000000;150
20140327;000000;420.0000000;420.0000000;405.1000000;409.8000000;300
20140328;000000;408.2000000;412.0000000;405.9000000;412.0000000;293
20140331;000000;412.0000000;412.0000000;408.1000000;409.1000000;246
20140401;000000;410.0000000;410.0000000;391.0000000;400.1000000;15763
20140402;000000;400.7000000;403.0000000;398.1000000;399.5000000;1959
20140403;000000;397.0000000;401.5000000;396.2000000;401.5000000;1825
20140404;000000;402.0000000;408.0000000;401.0000000;406.3000000;661
20140407;000000;407.8000000;408.1000000;400.0000000;404.0000000;647
20140408;000000;403.6000000;403.6000000;400.7000000;400.7000000;44
20140409;000000;403.9000000;403.9000000;390.0000000;392.7000000;435
20140410;000000;393.0000000;401.9000000;388.0000000;393.0000000;475
20140411;000000;388.0000000;392.7000000;386.6000000;390.0000000;337
20140414;000000;392.0000000;392.0000000;386.0000000;387.0000000;194
20140415;000000;389.0000000;389.8000000;385.0000000;385.1000000;118
20140416;000000;385.2000000;385.9000000;380.0000000;383.9000000;136
20140417;000000;381.1000000;381.5000000;380.0000000;380.0000000;95
20140418;000000;390.3000000;390.3000000;387.0000000;387.6000000;58
20140421;000000;382.0000000;383.3000000;380.1000000;383.3000000;58
20140422;000000;381.9000000;381.9000000;375.3000000;381.0000000;15895
20140423;000000;379.1000000;379.1000000;375.1000000;378.0000000;5163
20140424;000000;377.9000000;398.8000000;374.8000000;375.0000000;2064
20140425;000000;374.1000000;374.1000000;368.0000000;369.8000000;391
20140428;000000;366.7000000;366.7000000;352.7000000;363.0000000;493
20140429;000000;375.8000000;375.8000000;356.0000000;361.4000000;908
20140430;000000;359.2000000;364.6000000;359.2000000;364.3000000;65
20140502;000000;376.0000000;376.0000000;370.1000000;374.0000000;61
20140505;000000;369.9000000;390.0000000;356.7000000;369.5000000;562
20140506;000000;373.0000000;396.0000000;370.3000000;390.5000000;1313
20140507;000000;393.1000000;393.1000000;384.1000000;386.1000000;292
20140508;000000;389.7000000;390.1000000;387.1000000;387.2000000;115
20140512;000000;387.9000000;400.4000000;387.9000000;398.0000000;2835
20140513;000000;400.5000000;404.9000000;386.1000000;390.0000000;605
20140514;000000;393.8000000;393.8000000;388.8000000;391.4000000;41
20140515;000000;384.9000000;391.8000000;384.9000000;388.3000000;111
20140516;000000;388.9000000;389.5000000;386.1000000;388.0000000;17936
20140519;000000;394.9000000;399.0000000;388.0000000;388.0000000;6169
20140520;000000;390.0000000;393.0000000;375.0000000;382.9000000;622
20140521;000000;387.6000000;387.6000000;368.8000000;379.0000000;16629
20140522;000000;384.4000000;384.4000000;374.0000000;380.0000000;2195
20140523;000000;370.6000000;386.7000000;365.0000000;380.9000000;881
20140526;000000;391.0000000;396.0000000;387.0000000;387.0000000;331
20140527;000000;376.7000000;379.7000000;350.0000000;370.4000000;1939
20140528;000000;371.9000000;379.0000000;365.3000000;376.9000000;18980
20140529;000000;381.0000000;381.9000000;378.6000000;381.8000000;468
20140530;000000;384.6000000;392.0000000;379.0000000;380.1000000;1365
20140602;000000;385.0000000;388.3000000;381.0000000;388.3000000;1777
20140603;000000;391.8000000;391.9000000;385.7000000;387.9000000;64
20140604;000000;387.9000000;390.0000000;386.0000000;386.9000000;1699
20140605;000000;387.5000000;391.8000000;387.5000000;387.7000000;128
20140606;000000;389.9000000;389.9000000;388.1000000;388.1000000;15
20140609;000000;387.5000000;391.7000000;387.5000000;390.0000000;816
20140610;000000;391.0000000;391.7000000;389.0000000;389.0000000;206
20140611;000000;389.9000000;389.9000000;386.0000000;386.0000000;414
20140616;000000;382.5000000;383.2000000;382.5000000;383.2000000;6
20140617;000000;379.3000000;386.4000000;375.3000000;385.3000000;149
20140618;000000;389.1000000;389.7000000;389.0000000;389.5000000;43
20140619;000000;390.1000000;390.1000000;385.0000000;390.0000000;11459
20140620;000000;385.9000000;385.9000000;374.2000000;381.0000000;361
20140623;000000;386.1000000;386.2000000;379.3000000;379.3000000;538
20140624;000000;380.1000000;385.0000000;378.0000000;385.0000000;4625
20140625;000000;391.0000000;391.6000000;388.0000000;390.6000000;27337
20140626;000000;391.4000000;398.4000000;390.8000000;395.8000000;157
20140627;000000;395.8000000;405.0000000;395.8000000;403.0000000;670
20140630;000000;403.4000000;404.9000000;400.0000000;400.0000000;765
20140701;000000;396.2000000;399.2000000;394.7000000;399.2000000;373
20140702;000000;401.7000000;403.0000000;394.1000000;394.1000000;489
20140703;000000;396.0000000;399.0000000;396.0000000;399.0000000;15
20140704;000000;395.0000000;410.0000000;395.0000000;410.0000000;1405
20140707;000000;400.0000000;404.0000000;399.8000000;402.2000000;4556
20140708;000000;405.0000000;409.9000000;405.0000000;409.0000000;567
20140709;000000;409.5000000;413.6000000;406.3000000;406.6000000;164
20140710;000000;403.7000000;403.7000000;395.2000000;400.0000000;86
