<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140108;000000;11.6890000;11.6890000;11.6890000;11.6890000;100
20140109;000000;10.5010000;10.5020000;10.5000000;10.5000000;331200
20140110;000000;9.1170000;11.0000000;9.1170000;11.0000000;500
20140113;000000;11.3900000;11.3940000;10.5000000;11.3940000;8000
20140114;000000;11.3940000;11.3940000;11.3940000;11.3940000;100
20140115;000000;10.5000000;11.8990000;10.5000000;11.8990000;22300
20140116;000000;10.9990000;11.0000000;10.7000000;11.0000000;28200
20140117;000000;10.5010000;10.9990000;10.5000000;10.9990000;5700
20140120;000000;10.8300000;10.8300000;10.8300000;10.8300000;15000
20140121;000000;10.7510000;10.9890000;10.7500000;10.9890000;40100
20140123;000000;10.9890000;10.9900000;10.9890000;10.9900000;45100
20140127;000000;11.2990000;11.3000000;10.5000000;10.5000000;40000
20140128;000000;11.4990000;11.4990000;11.0000000;11.4000000;2200
20140129;000000;11.2000000;11.2000000;11.2000000;11.2000000;1900000
20140130;000000;10.0110000;11.6000000;9.9990000;11.5990000;157700
20140131;000000;11.5990000;11.5990000;11.5990000;11.5990000;1000
20140203;000000;11.4490000;11.4990000;10.7000000;11.4990000;101500
20140204;000000;10.5020000;11.6950000;10.5000000;11.0000000;70500
20140205;000000;11.4990000;11.4990000;11.2000000;11.2000000;1900500
20140206;000000;11.0000000;11.3990000;11.0000000;11.0000000;251900
20140207;000000;11.4480000;11.4990000;11.4480000;11.4990000;500
20140210;000000;10.8020000;11.8790000;10.8000000;11.8790000;52900
20140211;000000;11.4490000;11.7890000;11.4490000;11.7890000;500
20140213;000000;11.3990000;11.3990000;10.8520000;10.8520000;400
20140214;000000;10.7010000;10.7010000;10.6970000;10.6980000;1700
20140217;000000;10.5210000;10.5210000;10.5000000;10.5000000;1900
20140218;000000;10.7390000;11.4990000;10.7390000;11.4990000;1800
20140224;000000;11.2990000;11.2990000;10.8510000;10.8510000;200
20140225;000000;10.5010000;11.8790000;10.5010000;11.8790000;1800
20140226;000000;10.2520000;11.4960000;10.2520000;11.4960000;600
20140227;000000;10.5110000;11.2980000;10.5110000;10.8000000;25200
20140228;000000;10.5090000;10.6540000;10.5000000;10.5000000;145100
20140304;000000;10.4990000;10.4990000;10.4990000;10.4990000;400
20140305;000000;10.1010000;10.1010000;9.5700000;9.9990000;31800
20140307;000000;9.9990000;10.0000000;9.9990000;10.0000000;96600
20140311;000000;9.6050000;9.6050000;9.5000000;9.5060000;29000
20140312;000000;9.7000000;10.0000000;9.7000000;9.7000000;4600
20140314;000000;9.7010000;9.7010000;9.7000000;9.7000000;1700
20140317;000000;9.5060000;9.5060000;9.5060000;9.5060000;100
20140318;000000;9.7010000;9.7010000;9.7010000;9.7010000;300
20140320;000000;9.8910000;9.8910000;9.8910000;9.8910000;100
20140321;000000;9.5050000;9.5050000;9.5050000;9.5050000;100
20140324;000000;9.8990000;9.9000000;9.8990000;9.9000000;200
20140325;000000;9.8000000;9.8000000;9.8000000;9.8000000;200
20140326;000000;9.9000000;9.9500000;9.8990000;9.9000000;1100
20140327;000000;9.5190000;9.5190000;9.5190000;9.5190000;100
