<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140109;000000;30.0000000;30.0000000;30.0000000;30.0000000;400
20140116;000000;29.3100000;29.3100000;29.3100000;29.3100000;100
20140123;000000;31.4000000;32.2600000;31.1100000;32.2600000;2800
20140124;000000;32.2600000;32.2600000;32.2600000;32.2600000;100
20140127;000000;32.0000000;32.0000000;32.0000000;32.0000000;100
20140129;000000;29.5100000;29.9800000;28.3600000;29.0000000;5400
20140130;000000;29.9700000;29.9700000;29.9700000;29.9700000;300
20140203;000000;29.0000000;29.0000000;29.0000000;29.0000000;100
20140204;000000;28.0000000;28.1100000;28.0000000;28.1100000;200
20140206;000000;29.9700000;30.0000000;29.9700000;30.0000000;1000
20140207;000000;27.7600000;29.5000000;27.7600000;29.5000000;1000
20140210;000000;28.8800000;29.5500000;28.8800000;29.5500000;200
20140211;000000;29.4300000;29.4300000;29.4300000;29.4300000;100
20140214;000000;30.0000000;30.0000000;30.0000000;30.0000000;200
20140225;000000;28.2900000;28.2900000;28.2800000;28.2800000;900
20140226;000000;28.6600000;28.6600000;27.8000000;27.8000000;500
20140227;000000;28.2200000;28.2200000;28.2200000;28.2200000;1400
20140228;000000;28.0100000;28.0100000;28.0000000;28.0000000;500
20140303;000000;27.8000000;27.8000000;26.5300000;26.5300000;500
20140304;000000;27.8400000;27.8500000;27.8400000;27.8500000;600
20140305;000000;27.7000000;27.7000000;27.7000000;27.7000000;100
20140313;000000;24.8100000;25.0000000;24.7800000;25.0000000;900
20140314;000000;26.4000000;26.4000000;25.5400000;25.5400000;200
20140320;000000;25.0100000;25.0100000;22.3400000;23.4400000;48200
20140321;000000;22.6600000;23.3300000;22.6600000;23.3300000;1700
20140324;000000;23.7000000;25.3300000;22.0900000;25.3300000;4500
20140325;000000;23.9000000;23.9000000;22.0000000;23.6600000;3300
20140326;000000;23.9000000;23.9000000;23.5500000;23.5500000;700
20140327;000000;23.7700000;23.8800000;23.7700000;23.8800000;900
20140328;000000;23.8800000;24.4100000;23.5500000;24.4100000;900
20140401;000000;24.1000000;24.3300000;24.1000000;24.3300000;400
20140404;000000;24.3300000;24.3300000;24.3300000;24.3300000;100
20140410;000000;21.0600000;23.8800000;21.0600000;23.8800000;1000
20140411;000000;23.5000000;23.5000000;23.5000000;23.5000000;500
20140415;000000;24.3700000;24.3700000;24.3700000;24.3700000;100
20140425;000000;20.0000000;23.2300000;20.0000000;23.2300000;200
20140502;000000;17.7000000;28.5500000;17.7000000;28.5000000;900
20140505;000000;20.2600000;23.9900000;20.2600000;23.9900000;400
20140508;000000;22.0500000;22.1100000;22.0500000;22.1100000;200
20140512;000000;23.7900000;23.7900000;23.7900000;23.7900000;100
20140513;000000;23.8000000;23.9000000;23.8000000;23.9000000;300
20140528;000000;23.4400000;24.0000000;23.0000000;23.0000000;1200
20140529;000000;24.8800000;24.8800000;24.8800000;24.8800000;100
20140603;000000;24.8800000;24.9800000;24.0000000;24.9800000;400
20140606;000000;24.9800000;24.9800000;24.9800000;24.9800000;100
