<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;0.1665000;0.1666000;0.1640000;0.1640000;90000
20140113;000000;0.1565000;0.1565000;0.1565000;0.1565000;20000
20140114;000000;0.1561000;0.1653000;0.1560000;0.1653000;30000
20140116;000000;0.1537000;0.1576000;0.1536000;0.1576000;230000
20140117;000000;0.1600000;0.1650000;0.1600000;0.1602000;170000
20140120;000000;0.1542000;0.1652000;0.1542000;0.1600000;160000
20140121;000000;0.1561000;0.1580000;0.1561000;0.1576000;110000
20140122;000000;0.1572000;0.1600000;0.1572000;0.1600000;70000
20140124;000000;0.1572000;0.1572000;0.1520000;0.1520000;630000
20140127;000000;0.1513000;0.1596000;0.1501000;0.1540000;90000
20140128;000000;0.1540000;0.1540000;0.1540000;0.1540000;10000
20140129;000000;0.1631000;0.1633000;0.1558000;0.1558000;70000
20140130;000000;0.1571000;0.1571000;0.1571000;0.1571000;30000
20140131;000000;0.1564000;0.1564000;0.1457000;0.1458000;750000
20140203;000000;0.1473000;0.1598000;0.1473000;0.1481000;50000
20140205;000000;0.1590000;0.1600000;0.1445000;0.1500000;550000
20140206;000000;0.1490000;0.1490000;0.1425000;0.1425000;50000
20140207;000000;0.1524000;0.1524000;0.1524000;0.1524000;10000
20140210;000000;0.1471000;0.1552000;0.1411000;0.1489000;120000
20140211;000000;0.1483000;0.1488000;0.1483000;0.1488000;20000
20140213;000000;0.1488000;0.1488000;0.1488000;0.1488000;10000
20140214;000000;0.1478000;0.1478000;0.1478000;0.1478000;10000
20140217;000000;0.1492000;0.1492000;0.1483000;0.1483000;30000
20140218;000000;0.1483000;0.1483000;0.1479000;0.1479000;20000
20140219;000000;0.1455000;0.1488000;0.1408000;0.1488000;200000
20140220;000000;0.1467000;0.1467000;0.1400000;0.1455000;110000
20140221;000000;0.1401000;0.1401000;0.1400000;0.1400000;70000
20140224;000000;0.1357000;0.1357000;0.1276000;0.1276000;160000
20140225;000000;0.1255000;0.1255000;0.1255000;0.1255000;10000
