<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;79.0000000;81.5900000;78.1000000;81.5900000;1710
20140108;000000;81.6900000;82.1500000;81.6900000;82.1500000;1900
20140109;000000;82.3000000;83.0000000;82.0000000;82.9800000;7020
20140110;000000;83.0000000;85.0000000;82.0000000;82.0000000;4640
20140113;000000;85.1000000;85.1000000;82.1500000;83.2000000;6220
20140114;000000;83.3000000;83.3400000;81.0000000;81.8000000;6100
20140115;000000;81.9000000;81.9000000;79.7000000;79.7000000;5560
20140116;000000;83.0000000;83.0000000;79.8000000;81.6000000;5610
20140117;000000;81.6000000;81.6000000;79.5000000;79.5000000;6260
20140120;000000;81.3500000;81.3500000;79.5000000;79.5000000;2800
20140121;000000;79.2000000;79.6000000;79.2000000;79.2500000;8830
20140122;000000;79.6600000;79.7000000;79.0000000;79.7000000;4150
20140123;000000;78.1000000;79.3000000;78.1000000;79.3000000;4050
20140124;000000;76.5000000;78.0000000;74.5000000;75.0000000;6120
20140127;000000;75.0000000;75.3900000;73.3000000;75.3000000;4600
20140128;000000;75.5500000;75.5600000;73.4000000;75.5600000;3470
20140129;000000;75.5800000;75.5800000;75.0000000;75.0000000;5350
20140130;000000;75.6000000;75.6000000;73.0000000;73.0000000;5680
20140131;000000;74.0000000;74.3500000;74.0000000;74.3500000;910
20140203;000000;76.3500000;76.3500000;76.3500000;76.3500000;4000
20140204;000000;74.5000000;74.5800000;74.3000000;74.3000000;1700
20140205;000000;74.2000000;74.5500000;74.2000000;74.5000000;1480
20140206;000000;74.5200000;74.9000000;74.5200000;74.9000000;2000
20140207;000000;75.2000000;75.5000000;75.0000000;75.5000000;1860
20140210;000000;75.7000000;75.7000000;74.5000000;75.6000000;2100
20140211;000000;76.0000000;76.0000000;75.9500000;75.9500000;2300
20140212;000000;76.2000000;76.2000000;75.8000000;76.1900000;2040
20140213;000000;75.9000000;75.9000000;75.7000000;75.7000000;1900
20140214;000000;75.2000000;75.2000000;75.0000000;75.0000000;3050
20140217;000000;75.1000000;75.5000000;72.7000000;72.7000000;6600
20140218;000000;73.5000000;74.0000000;72.8000000;72.8000000;2230
20140219;000000;73.7000000;73.7000000;72.8000000;72.8000000;1420
20140220;000000;73.0000000;73.5000000;73.0000000;73.0000000;3220
20140221;000000;72.8000000;73.7000000;72.8000000;73.0000000;1870
20140224;000000;73.1000000;75.5000000;73.1000000;73.5000000;6970
20140225;000000;74.0000000;74.0000000;72.0400000;73.5500000;2300
20140226;000000;72.0000000;72.9000000;71.5500000;72.8000000;1550
20140227;000000;72.9000000;73.4000000;72.9000000;73.4000000;1210
20140228;000000;73.0000000;73.5400000;73.0000000;73.5400000;30
20140303;000000;71.1000000;71.1000000;68.5000000;68.8800000;1770
20140304;000000;68.9000000;70.0000000;68.7000000;70.0000000;3050
20140305;000000;68.0000000;68.5500000;68.0000000;68.5500000;1100
20140306;000000;69.0000000;70.0000000;68.0000000;68.0000000;790
20140307;000000;69.0000000;69.0000000;68.8000000;68.8500000;820
20140311;000000;68.5000000;68.5000000;67.0000000;67.4000000;700
20140312;000000;67.3000000;67.3000000;65.5500000;65.5500000;650
20140313;000000;65.7000000;65.7000000;64.2000000;64.2000000;180
20140314;000000;66.0000000;66.0000000;63.3000000;63.3000000;330
20140317;000000;64.0000000;64.3000000;64.0000000;64.3000000;1450
20140318;000000;64.7000000;65.0000000;64.7000000;65.0000000;630
20140319;000000;65.1000000;65.2000000;65.0000000;65.2000000;1360
20140320;000000;65.2000000;65.3000000;63.5000000;63.5000000;1280
20140321;000000;64.0000000;64.0000000;63.8000000;63.8000000;460
20140324;000000;64.0000000;64.0000000;63.0000000;63.0000000;160
20140325;000000;62.7000000;63.0000000;61.8000000;63.0000000;430
20140326;000000;63.5000000;63.5000000;63.5000000;63.5000000;100
20140327;000000;63.5300000;63.5300000;62.5000000;63.0000000;460
20140328;000000;63.6000000;65.0000000;63.6000000;65.0000000;3660
20140331;000000;65.3000000;65.4000000;59.0000000;59.0000000;2710
20140401;000000;61.1900000;61.1900000;61.1900000;61.1900000;300
20140402;000000;62.0000000;62.3500000;60.7000000;60.7000000;850
20140403;000000;62.0000000;63.4000000;62.0000000;62.1000000;530
