<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140109;000000;24.0000000;24.0000000;24.0000000;24.0000000;800
20140122;000000;25.0000000;25.0000000;25.0000000;25.0000000;100
20140127;000000;25.0000000;25.0000000;25.0000000;25.0000000;1000
20140204;000000;23.5000000;23.5000000;22.0000000;22.0000000;1800
20140207;000000;20.0000000;20.1000000;20.0000000;20.0000000;17000
20140210;000000;23.9300000;23.9300000;20.0000000;20.0000000;200
20140211;000000;20.0000000;20.0000000;20.0000000;20.0000000;1000
20140228;000000;21.9900000;22.0000000;18.0000000;18.0000000;4200
20140303;000000;15.3900000;15.3900000;15.3900000;15.3900000;100
20140307;000000;13.1100000;23.5300000;13.1100000;23.5300000;6100
20140311;000000;20.0000000;21.0000000;20.0000000;20.3500000;1500
20140313;000000;16.4400000;16.5100000;16.4400000;16.5100000;2700
20140317;000000;18.5100000;18.5200000;15.0000000;15.0000000;3400
20140319;000000;14.0000000;14.0000000;13.4600000;13.4600000;200
20140320;000000;16.1000000;16.1000000;16.0100000;16.0100000;1300
20140324;000000;19.2000000;19.2000000;17.0000000;17.0000000;200
20140326;000000;16.0000000;16.2100000;16.0000000;16.2100000;2300
20140331;000000;19.0500000;19.0500000;19.0500000;19.0500000;100
20140403;000000;15.5500000;16.5500000;15.5500000;16.0300000;7200
20140404;000000;16.0000000;19.2200000;16.0000000;18.5000000;9100
20140416;000000;16.0100000;16.4100000;16.0100000;16.4100000;1200
20140417;000000;16.0400000;16.0400000;16.0100000;16.0100000;1000
20140421;000000;16.3000000;16.3000000;16.3000000;16.3000000;1000
20140422;000000;16.5000000;16.9100000;16.5000000;16.9100000;3100
20140423;000000;16.9200000;16.9200000;16.9200000;16.9200000;1000
20140425;000000;16.3000000;16.3000000;16.3000000;16.3000000;1100
20140507;000000;17.1000000;19.0000000;17.1000000;18.0000000;12900
20140512;000000;17.6000000;17.6000000;17.6000000;17.6000000;300
20140513;000000;17.6000000;17.6000000;17.6000000;17.6000000;600
20140514;000000;17.1100000;17.1100000;17.1100000;17.1100000;1100
20140520;000000;18.5100000;20.0000000;17.2900000;17.8000000;9100
20140521;000000;18.4000000;19.0000000;18.4000000;19.0000000;4100
20140526;000000;21.9900000;21.9900000;21.9900000;21.9900000;100
20140528;000000;18.0100000;18.0100000;18.0100000;18.0100000;100
20140611;000000;19.9800000;20.0000000;19.9800000;20.0000000;27000
20140616;000000;19.0100000;19.0100000;19.0100000;19.0100000;100
20140620;000000;20.0000000;20.0000000;20.0000000;20.0000000;500
20140625;000000;19.9900000;21.9900000;19.9900000;21.9900000;500
20140707;000000;19.1100000;19.1100000;16.5500000;18.5000000;1300
20140715;000000;18.6000000;19.0000000;18.6000000;19.0000000;3600
20140716;000000;15.9300000;18.0100000;15.9300000;18.0100000;200
20140724;000000;17.0000000;17.0100000;14.6400000;17.0100000;300
20140728;000000;15.0400000;17.0000000;14.4700000;17.0000000;600
20140812;000000;18.0100000;18.0100000;18.0100000;18.0100000;1300
20140910;000000;15.3300000;17.0000000;14.1100000;17.0000000;300
20140916;000000;20.0500000;20.0500000;18.6100000;18.6100000;200
20140918;000000;18.6000000;18.6000000;15.0000000;15.0000000;300
20140926;000000;15.1400000;15.1400000;15.1400000;15.1400000;100
20141006;000000;18.9500000;18.9500000;15.4000000;15.4000000;400
20141009;000000;16.3500000;16.3500000;15.3000000;15.3000000;39200
20141015;000000;15.0000000;15.3000000;12.8000000;13.0000000;900
20141029;000000;15.4500000;15.4500000;15.4500000;15.4500000;100
20141030;000000;13.1500000;13.1500000;12.1500000;12.1500000;400
20141031;000000;14.5000000;14.5000000;14.5000000;14.5000000;100
20141103;000000;15.8000000;15.8000000;15.8000000;15.8000000;100
20141106;000000;15.9500000;15.9500000;15.9500000;15.9500000;100
20141114;000000;15.2500000;15.2500000;12.2500000;12.2500000;400
20141117;000000;12.3500000;12.3500000;12.3500000;12.3500000;100
20141118;000000;12.2000000;12.2000000;12.2000000;12.2000000;100
20141119;000000;14.0000000;14.0000000;12.2000000;12.2000000;2300
20141125;000000;12.0500000;12.0500000;12.0500000;12.0500000;100
20141126;000000;12.0000000;12.0000000;12.0000000;12.0000000;100
20141204;000000;13.3000000;13.3500000;13.3000000;13.3500000;300
20141208;000000;11.5500000;11.8000000;11.2000000;11.8000000;26000
20141209;000000;10.1000000;10.3000000;10.0500000;10.1000000;8500
20141210;000000;11.0000000;11.0000000;11.0000000;11.0000000;100
20141211;000000;11.0000000;11.0000000;11.0000000;11.0000000;100
20141216;000000;9.4500000;9.4500000;7.6000000;7.7000000;3800
20141217;000000;8.1000000;8.9500000;7.6000000;7.6000000;1800
20141224;000000;8.6500000;8.6500000;8.0000000;8.2000000;1600
20141225;000000;8.5500000;10.0000000;8.5500000;10.0000000;68100
20141226;000000;9.9500000;11.2500000;7.7500000;7.7500000;6700
20141229;000000;7.6500000;7.6500000;7.6000000;7.6000000;700
20141230;000000;7.6000000;8.8500000;7.6000000;8.8500000;2200
